//Los pokemon mono tipo tienen estructura:
//nombre-id-vida-ataque-velocidad-defensa-tipo-ataquesp-defensasp
//Los pokemon de dos tipos tienen estructura:
//nombre-id-vida-ataque-velocidad-defensa-tipo1-tipo2-ataquesp-defensasp

Venusaur,1,270,152,148,153,0,100,100
Tangela,2,240,103,112,211,0,100,100
Exeggutor,3,300,175,103,157,0,100,100
Parasect,4,230,175,134,148,0,100,100
Vileplume,5,260,148,94,157,0,100,100
Blastoise,6,268,153,144,184,1,100,100
Golduck,7,270,152,157,144,1,100,100
Poliwrath,8,290,175,130,175,1,100,100
Tentacruel,9,270,130,184,121,1,100,100
Seadra,10,220,121,157,175,1,100,100
Charizard,11,266,155,184,144,2,100,100
Arcanine,12,290,202,175,148,2,100,100
Magmar,13,240,175,171,107,2,100,100
Ninetales,14,256,141,184,139,2,100,100
Rapidash,15,240,184,193,130,2,100,100
Snorlax,16,430,202,58,121,3,100,100
Tauros,17,260,184,202,175,3,100,100
Chansey,18,610,119,114,110,3,100,100
Porygon,19,240,112,135,130,3,100,100
Persian,20,240,130,112,211,3,100,100
Gengar,21,230,121,112,202,4,100,100
Mismagius,22,230,112,193,112,4,193,193
Cofagrigus,23,226,94,58,265,4,175,193
Dusknoir,24,190,135,166,200,4,100,100
Froslass,25,240,166,112,220,4,100,100
Zapdos,26,290,166,184,157,0,100,100
Articuno,27,290,160,157,195,1,100,100
Moltres,28,290,184,166,166,2,100,100
Mew,29,310,184,184,184,3,100,100
Mewtwo,30,322,202,238,166,4,100,100
